simulation_id,real_concentration_name_file,wind_speed,wind_dir_mean,stability_class,stability_index,RH,humidify,source_x,source_y,source_h,emission_rate,dispersion_model,gps_x,gps_y
24,sim_24_conc_real_2025-11-24.npy,6.61,-134.89,NEUTRAL,4,0.0,False,71.0,329.0,3.03,0.012725509625839222,PLUME,0.14228456913827656,0.6593186372745491
25,sim_25_conc_real_2025-11-24.npy,6.99,-135.1,NEUTRAL,4,0.02,True,456.0,187.0,3.54,0.009518779307501666,PLUME,0.9138276553106213,0.374749498997996
26,sim_26_conc_real_2025-11-24.npy,5.3,-134.77,NEUTRAL,4,0.95,True,353.0,232.0,5.33,0.012902616416343845,PLUME,0.7074148296593187,0.4649298597194389
27,sim_27_conc_real_2025-11-24.npy,5.17,-134.99,SLIGHTLY_UNSTABLE,3,0.0,False,224.0,495.0,9.89,0.0035162166587076864,PLUME,0.44889779559118237,0.9919839679358717
28,sim_28_conc_real_2025-11-24.npy,2.32,-134.83,VERY_STABLE,6,0.26,True,210.0,480.0,1.3,0.0045946260743048115,PLUME,0.42084168336673344,0.9619238476953907
29,sim_29_conc_real_2025-11-24.npy,4.58,-135.3,NEUTRAL,4,0.0,False,94.0,378.0,1.96,0.0016962894173202356,PLUME,0.18837675350701402,0.7575150300601202
30,sim_30_conc_real_2025-11-24.npy,4.52,-135.17,VERY_UNSTABLE,1,0.29,True,425.0,322.0,6.07,0.011874348999294956,PLUME,0.8517034068136272,0.6452905811623246
31,sim_31_conc_real_2025-11-24.npy,6.95,-134.93,NEUTRAL,4,0.15,True,463.0,21.0,7.5,0.012957097169827188,PLUME,0.9278557114228457,0.04208416833667335
32,sim_32_conc_real_2025-11-24.npy,7.31,-134.53,NEUTRAL,4,0.03,True,319.0,15.0,7.43,0.0035476716329295717,PLUME,0.6392785571142284,0.03006012024048096
33,sim_33_conc_real_2025-11-24.npy,1.13,-134.66,MODERATELY_STABLE,5,0.8,True,360.0,370.0,9.01,0.002504329440344606,PLUME,0.7214428857715431,0.7414829659318637
34,sim_34_conc_real_2025-11-24.npy,3.28,-135.18,MODERATELY_UNSTABLE,2,0.29,True,407.0,145.0,1.81,0.013426763454371967,PLUME,0.8156312625250501,0.2905811623246493
35,sim_35_conc_real_2025-11-24.npy,5.94,-135.06,NEUTRAL,4,0.09,True,239.0,499.0,9.33,0.0025170456170003565,PLUME,0.4789579158316633,1.0
36,sim_36_conc_real_2025-11-24.npy,7.09,-135.11,NEUTRAL,4,0.36,True,354.0,381.0,3.07,0.005332319317807254,PLUME,0.7094188376753507,0.7635270541082164
37,sim_37_conc_real_2025-11-24.npy,6.65,-134.69,NEUTRAL,4,0.77,True,231.0,476.0,9.23,0.009873130669079752,PLUME,0.46292585170340683,0.9539078156312625
38,sim_38_conc_real_2025-11-24.npy,6.52,-134.79,NEUTRAL,4,0.0,False,317.0,103.0,2.95,0.008585628565467013,PLUME,0.6352705410821643,0.20641282565130262
39,sim_39_conc_real_2025-11-24.npy,3.07,-135.16,MODERATELY_STABLE,5,0.0,False,440.0,189.0,9.74,0.005682317496508728,PLUME,0.8817635270541082,0.3787575150300601
40,sim_40_conc_real_2025-11-24.npy,1.94,-135.38,MODERATELY_STABLE,5,0.1,True,167.0,10.0,3.32,0.0024881802936088933,PLUME,0.3346693386773547,0.02004008016032064
41,sim_41_conc_real_2025-11-24.npy,2.46,-134.55,VERY_UNSTABLE,1,0.0,False,287.0,358.0,8.41,0.013049618022019345,PLUME,0.5751503006012024,0.717434869739479
42,sim_42_conc_real_2025-11-24.npy,0.56,-134.93,VERY_STABLE,6,0.19,True,140.0,401.0,9.47,0.013471252740079499,PLUME,0.280561122244489,0.8036072144288577
43,sim_43_conc_real_2025-11-24.npy,4.05,-135.27,NEUTRAL,4,0.11,True,114.0,101.0,2.56,0.009121662096011732,PLUME,0.22845691382765532,0.20240480961923848
44,sim_44_conc_real_2025-11-24.npy,0.94,-135.37,VERY_STABLE,6,0.0,False,445.0,197.0,4.71,0.007833520530797304,PLUME,0.8917835671342685,0.39478957915831664
45,sim_45_conc_real_2025-11-24.npy,6.38,-134.95,NEUTRAL,4,0.0,False,43.0,112.0,2.43,0.006406495635396773,PLUME,0.08617234468937876,0.22444889779559118
46,sim_46_conc_real_2025-11-24.npy,0.96,-135.22,VERY_STABLE,6,0.0,False,193.0,363.0,7.22,0.0016705160525336514,PLUME,0.3867735470941884,0.7274549098196392
47,sim_47_conc_real_2025-11-24.npy,4.52,-134.9,SLIGHTLY_UNSTABLE,3,0.46,True,248.0,24.0,7.87,0.00711519566281281,PLUME,0.4969939879759519,0.04809619238476954
48,sim_48_conc_real_2025-11-24.npy,4.11,-135.11,NEUTRAL,4,0.0,False,227.0,459.0,2.59,0.0033411827270305333,PLUME,0.45490981963927857,0.9198396793587175
49,sim_49_conc_real_2025-11-24.npy,3.37,-135.23,MODERATELY_UNSTABLE,2,0.0,False,192.0,499.0,8.61,0.0032435662689459664,PLUME,0.3847695390781563,1.0
50,sim_50_conc_real_2025-11-24.npy,6.29,-135.07,NEUTRAL,4,0.41,True,261.0,234.0,3.41,0.009782382894751309,PLUME,0.5230460921843687,0.46893787575150303
51,sim_51_conc_real_2025-11-24.npy,5.4,-135.13,NEUTRAL,4,0.93,True,43.0,446.0,8.95,0.006377775057461824,PLUME,0.08617234468937876,0.8937875751503006
52,sim_52_conc_real_2025-11-24.npy,1.21,-135.08,MODERATELY_STABLE,5,0.0,False,478.0,71.0,7.7,0.0014039225631746444,PLUME,0.9579158316633266,0.14228456913827656
53,sim_53_conc_real_2025-11-24.npy,4.63,-135.13,MODERATELY_UNSTABLE,2,0.0,False,208.0,19.0,9.39,0.006802345974914501,PLUME,0.4168336673346693,0.03807615230460922
54,sim_54_conc_real_2025-11-24.npy,5.33,-135.14,NEUTRAL,4,0.45,True,447.0,5.0,1.49,0.004245972988933383,PLUME,0.8957915831663327,0.01002004008016032
55,sim_55_conc_real_2025-11-24.npy,7.42,-134.91,NEUTRAL,4,0.0,False,202.0,332.0,9.27,0.006186324429772895,PLUME,0.40480961923847697,0.6653306613226453
56,sim_56_conc_real_2025-11-24.npy,7.12,-135.07,NEUTRAL,4,0.5,True,418.0,196.0,9.99,0.010492083274539642,PLUME,0.8376753507014028,0.3927855711422846
57,sim_57_conc_real_2025-11-24.npy,4.78,-134.74,NEUTRAL,4,0.0,False,15.0,360.0,6.0,0.010006384600227574,PLUME,0.03006012024048096,0.7214428857715431
58,sim_58_conc_real_2025-11-24.npy,3.2,-134.95,SLIGHTLY_UNSTABLE,3,0.0,False,394.0,182.0,1.79,0.011671356621174838,PLUME,0.7895791583166333,0.36472945891783565
59,sim_59_conc_real_2025-11-24.npy,6.96,-134.75,NEUTRAL,4,0.93,True,159.0,120.0,2.99,0.00459707136017579,PLUME,0.3186372745490982,0.24048096192384769
60,sim_60_conc_real_2025-11-24.npy,5.5,-135.19,SLIGHTLY_UNSTABLE,3,0.35,True,454.0,208.0,9.97,0.001611928083338284,PLUME,0.9098196392785571,0.4168336673346693
61,sim_61_conc_real_2025-11-24.npy,6.8,-134.85,NEUTRAL,4,0.31,True,286.0,307.0,5.75,0.004409306972249492,PLUME,0.5731462925851704,0.6152304609218436
62,sim_62_conc_real_2025-11-24.npy,7.37,-135.15,NEUTRAL,4,0.0,False,25.0,118.0,2.64,0.004933580993255627,PLUME,0.050100200400801605,0.23647294589178355
63,sim_63_conc_real_2025-11-24.npy,5.85,-134.81,VERY_UNSTABLE,1,0.61,True,287.0,317.0,9.64,0.007998820736714709,PLUME,0.5751503006012024,0.6352705410821643
64,sim_64_conc_real_2025-11-24.npy,5.57,-134.79,NEUTRAL,4,0.25,True,426.0,333.0,6.77,0.004492181226693298,PLUME,0.8537074148296593,0.6673346693386774
65,sim_65_conc_real_2025-11-24.npy,2.73,-135.15,MODERATELY_UNSTABLE,2,0.0,False,466.0,395.0,2.9,0.004814939336588581,PLUME,0.9338677354709419,0.7915831663326653
66,sim_66_conc_real_2025-11-24.npy,3.61,-134.93,MODERATELY_UNSTABLE,2,0.0,False,428.0,281.0,6.11,0.011369377126888508,PLUME,0.8577154308617234,0.56312625250501
67,sim_67_conc_real_2025-11-24.npy,5.01,-135.13,NEUTRAL,4,0.0,False,82.0,377.0,4.67,0.004870734373406352,PLUME,0.16432865731462926,0.7555110220440882
68,sim_68_conc_real_2025-11-24.npy,4.06,-135.11,SLIGHTLY_UNSTABLE,3,0.77,True,39.0,420.0,2.23,0.013526020996061656,PLUME,0.0781563126252505,0.8416833667334669
69,sim_69_conc_real_2025-11-24.npy,5.06,-135.41,NEUTRAL,4,0.6,True,239.0,136.0,8.93,0.009467420380515882,PLUME,0.4789579158316633,0.2725450901803607
70,sim_70_conc_real_2025-11-24.npy,7.45,-134.96,NEUTRAL,4,0.0,False,333.0,6.0,8.61,0.013359506492361829,PLUME,0.6673346693386774,0.012024048096192385
71,sim_71_conc_real_2025-11-24.npy,1.69,-135.16,VERY_STABLE,6,0.39,True,428.0,331.0,2.85,0.01385602588742686,PLUME,0.8577154308617234,0.6633266533066132
72,sim_72_conc_real_2025-11-24.npy,5.41,-134.96,NEUTRAL,4,0.22,True,50.0,55.0,8.23,0.007623840122986893,PLUME,0.10020040080160321,0.11022044088176353
73,sim_73_conc_real_2025-11-24.npy,4.48,-135.02,NEUTRAL,4,0.3,True,195.0,74.0,3.65,0.00959391004144247,PLUME,0.3907815631262525,0.14829659318637275
74,sim_74_conc_real_2025-11-24.npy,6.86,-134.7,NEUTRAL,4,0.6,True,9.0,86.0,5.66,0.010202213299305107,PLUME,0.018036072144288578,0.17234468937875752
75,sim_75_conc_real_2025-11-24.npy,7.13,-135.47,NEUTRAL,4,0.0,False,163.0,457.0,5.14,0.009665149498655271,PLUME,0.32665330661322645,0.9158316633266533
76,sim_76_conc_real_2025-11-24.npy,4.12,-134.75,SLIGHTLY_UNSTABLE,3,0.45,True,285.0,7.0,9.75,0.01203228934643149,PLUME,0.5711422845691383,0.014028056112224449
77,sim_77_conc_real_2025-11-24.npy,2.91,-135.21,MODERATELY_STABLE,5,0.0,False,481.0,428.0,4.1,0.0060026557715839625,PLUME,0.9639278557114228,0.8577154308617234
78,sim_78_conc_real_2025-11-24.npy,2.25,-135.22,MODERATELY_UNSTABLE,2,0.3,True,405.0,179.0,4.7,0.005267997140005571,PLUME,0.811623246492986,0.3587174348697395
79,sim_79_conc_real_2025-11-24.npy,3.09,-134.76,SLIGHTLY_UNSTABLE,3,0.33,True,31.0,499.0,5.06,0.002437627866869011,PLUME,0.06212424849699399,1.0
80,sim_80_conc_real_2025-11-24.npy,2.63,-134.87,MODERATELY_STABLE,5,0.84,True,251.0,446.0,1.33,0.01355104215204971,PLUME,0.503006012024048,0.8937875751503006
81,sim_81_conc_real_2025-11-24.npy,3.14,-134.96,MODERATELY_UNSTABLE,2,0.0,False,89.0,282.0,2.69,0.0019073510085146832,PLUME,0.17835671342685372,0.5651302605210421
82,sim_82_conc_real_2025-11-24.npy,4.25,-134.89,NEUTRAL,4,0.77,True,287.0,316.0,3.04,0.01093225940259739,PLUME,0.5751503006012024,0.6332665330661322
83,sim_83_conc_real_2025-11-24.npy,5.67,-134.94,VERY_UNSTABLE,1,0.0,False,388.0,417.0,8.48,0.006322015839355371,PLUME,0.7775551102204409,0.8356713426853707
84,sim_84_conc_real_2025-11-24.npy,4.67,-135.1,SLIGHTLY_UNSTABLE,3,0.03,True,433.0,402.0,7.22,0.002707010793723826,PLUME,0.8677354709418837,0.8056112224448898
85,sim_85_conc_real_2025-11-24.npy,7.04,-135.1,NEUTRAL,4,0.15,True,248.0,255.0,9.89,0.012814232816275542,PLUME,0.4969939879759519,0.5110220440881763
86,sim_86_conc_real_2025-11-24.npy,4.78,-134.95,NEUTRAL,4,0.64,True,203.0,62.0,1.2,0.007558033484236542,PLUME,0.40681362725450904,0.12424849699398798
87,sim_87_conc_real_2025-11-24.npy,7.84,-134.99,NEUTRAL,4,0.04,True,341.0,286.0,5.0,0.012122014357792258,PLUME,0.6833667334669339,0.5731462925851704
88,sim_88_conc_real_2025-11-24.npy,4.01,-135.24,NEUTRAL,4,0.0,False,482.0,287.0,3.57,0.005469653109794999,PLUME,0.9659318637274549,0.5751503006012024
89,sim_89_conc_real_2025-11-24.npy,5.44,-134.82,SLIGHTLY_UNSTABLE,3,0.69,True,407.0,67.0,4.94,0.010434962588317742,PLUME,0.8156312625250501,0.1342685370741483
90,sim_90_conc_real_2025-11-24.npy,3.35,-134.98,MODERATELY_STABLE,5,0.99,True,327.0,465.0,8.17,0.01332319187779637,PLUME,0.655310621242485,0.9318637274549099
91,sim_91_conc_real_2025-11-24.npy,3.05,-134.49,VERY_UNSTABLE,1,0.52,True,185.0,478.0,8.23,0.007478138246705577,PLUME,0.37074148296593185,0.9579158316633266
92,sim_92_conc_real_2025-11-24.npy,7.64,-134.97,NEUTRAL,4,0.0,False,443.0,33.0,3.71,0.011909768292602435,PLUME,0.8877755511022044,0.06613226452905811
93,sim_93_conc_real_2025-11-24.npy,4.16,-134.6,NEUTRAL,4,0.0,False,50.0,442.0,7.75,0.007069340672319801,PLUME,0.10020040080160321,0.8857715430861723
94,sim_94_conc_real_2025-11-24.npy,7.28,-134.93,NEUTRAL,4,0.4,True,246.0,462.0,4.67,0.0129935983432607,PLUME,0.49298597194388777,0.9258517034068137
95,sim_95_conc_real_2025-11-24.npy,3.17,-135.36,VERY_UNSTABLE,1,0.94,True,77.0,43.0,4.1,0.005713092952754468,PLUME,0.15430861723446893,0.08617234468937876
96,sim_96_conc_real_2025-11-24.npy,5.35,-134.85,VERY_UNSTABLE,1,0.03,True,479.0,81.0,6.8,0.01218300378366182,PLUME,0.9599198396793587,0.1623246492985972
97,sim_97_conc_real_2025-11-24.npy,7.76,-134.96,NEUTRAL,4,0.94,True,374.0,352.0,4.86,0.006372460187184617,PLUME,0.749498997995992,0.7054108216432866
98,sim_98_conc_real_2025-11-24.npy,5.26,-135.09,NEUTRAL,4,0.03,True,327.0,248.0,9.8,0.012511131624703206,PLUME,0.655310621242485,0.4969939879759519
99,sim_99_conc_real_2025-11-24.npy,6.39,-135.03,NEUTRAL,4,0.73,True,394.0,477.0,1.63,0.011849914914798695,PLUME,0.7895791583166333,0.9559118236472945
100,sim_100_conc_real_2025-11-24.npy,6.68,-135.13,NEUTRAL,4,0.0,False,281.0,419.0,4.19,0.00504030091117677,PLUME,0.56312625250501,0.8396793587174348
101,sim_101_conc_real_2025-11-24.npy,7.08,-134.95,NEUTRAL,4,0.89,True,497.0,413.0,7.71,0.005107697106904125,PLUME,0.9959919839679359,0.8276553106212425
102,sim_102_conc_real_2025-11-24.npy,4.88,-134.98,VERY_UNSTABLE,1,0.0,False,22.0,10.0,6.35,0.008044578900996077,PLUME,0.04408817635270541,0.02004008016032064
103,sim_103_conc_real_2025-11-24.npy,7.24,-134.84,NEUTRAL,4,0.0,False,345.0,243.0,8.51,0.011188088940502421,PLUME,0.6913827655310621,0.48697394789579157
104,sim_104_conc_real_2025-11-24.npy,1.59,-135.34,VERY_STABLE,6,0.0,False,338.0,465.0,5.67,0.00840495999560671,PLUME,0.6773547094188377,0.9318637274549099
105,sim_105_conc_real_2025-11-24.npy,7.71,-135.03,NEUTRAL,4,0.0,False,320.0,61.0,5.28,0.005631867824923981,PLUME,0.6412825651302605,0.12224448897795591
106,sim_106_conc_real_2025-11-24.npy,7.54,-135.23,NEUTRAL,4,0.18,True,359.0,408.0,6.36,0.002085898721725216,PLUME,0.7194388777555111,0.8176352705410822
107,sim_107_conc_real_2025-11-24.npy,4.67,-134.8,NEUTRAL,4,0.41,True,487.0,236.0,2.55,0.002250476296216591,PLUME,0.9759519038076152,0.4729458917835671
108,sim_108_conc_real_2025-11-24.npy,2.62,-134.72,VERY_STABLE,6,0.0,False,55.0,393.0,8.69,0.008231342171050678,PLUME,0.11022044088176353,0.7875751503006012
109,sim_109_conc_real_2025-11-24.npy,4.25,-135.05,NEUTRAL,4,0.83,True,96.0,484.0,6.11,0.012249058560051885,PLUME,0.19238476953907815,0.969939879759519
110,sim_110_conc_real_2025-11-24.npy,5.65,-135.17,NEUTRAL,4,0.1,True,257.0,497.0,1.91,0.011604766768369365,PLUME,0.5150300601202404,0.9959919839679359
111,sim_111_conc_real_2025-11-24.npy,5.19,-134.79,NEUTRAL,4,0.0,False,116.0,372.0,8.67,0.009650786797634734,PLUME,0.23246492985971945,0.7454909819639278
112,sim_112_conc_real_2025-11-24.npy,5.09,-135.04,NEUTRAL,4,0.0,False,278.0,386.0,9.76,0.004995501179181764,PLUME,0.5571142284569138,0.7735470941883767
113,sim_113_conc_real_2025-11-24.npy,6.69,-135.03,NEUTRAL,4,0.0,False,234.0,425.0,6.95,0.0022839924529814057,PLUME,0.46893787575150303,0.8517034068136272
114,sim_114_conc_real_2025-11-24.npy,6.85,-135.22,NEUTRAL,4,0.0,False,425.0,445.0,8.36,0.008029632809005696,PLUME,0.8517034068136272,0.8917835671342685
115,sim_115_conc_real_2025-11-24.npy,4.03,-135.05,NEUTRAL,4,0.0,False,7.0,342.0,9.79,0.002686506141967866,PLUME,0.014028056112224449,0.685370741482966
116,sim_116_conc_real_2025-11-24.npy,4.66,-134.93,NEUTRAL,4,0.5,True,87.0,321.0,5.13,0.0016162035740244158,PLUME,0.1743486973947896,0.6432865731462926
117,sim_117_conc_real_2025-11-24.npy,1.58,-135.0,MODERATELY_STABLE,5,0.48,True,414.0,382.0,8.5,0.004603722785510443,PLUME,0.8296593186372746,0.7655310621242485
118,sim_118_conc_real_2025-11-24.npy,7.61,-135.08,NEUTRAL,4,0.0,False,178.0,19.0,4.44,0.003131406206417853,PLUME,0.35671342685370744,0.03807615230460922
119,sim_119_conc_real_2025-11-24.npy,4.71,-134.98,NEUTRAL,4,0.0,False,494.0,365.0,4.59,0.0093858572055608,PLUME,0.9899799599198397,0.7314629258517034
120,sim_120_conc_real_2025-11-24.npy,7.77,-135.03,NEUTRAL,4,0.72,True,475.0,126.0,3.25,0.006241280595458541,PLUME,0.9519038076152304,0.25250501002004005
121,sim_121_conc_real_2025-11-24.npy,6.69,-135.05,NEUTRAL,4,0.0,False,25.0,88.0,7.06,0.010513936208910831,PLUME,0.050100200400801605,0.17635270541082165
122,sim_122_conc_real_2025-11-24.npy,3.88,-135.0,MODERATELY_UNSTABLE,2,0.0,False,373.0,143.0,5.6,0.007516697752623079,PLUME,0.7474949899799599,0.2865731462925852
123,sim_123_conc_real_2025-11-24.npy,4.51,-134.78,NEUTRAL,4,0.96,True,482.0,55.0,7.3,0.001702196578365487,PLUME,0.9659318637274549,0.11022044088176353
124,sim_124_conc_real_2025-11-24.npy,5.2,-134.92,SLIGHTLY_UNSTABLE,3,0.36,True,152.0,410.0,8.43,0.0028239740102987783,PLUME,0.3046092184368738,0.8216432865731463
125,sim_125_conc_real_2025-11-24.npy,7.43,-135.04,NEUTRAL,4,0.92,True,81.0,18.0,9.23,0.011435027352654014,PLUME,0.1623246492985972,0.036072144288577156
126,sim_126_conc_real_2025-11-24.npy,7.35,-134.7,NEUTRAL,4,0.65,True,365.0,164.0,5.89,0.007490035932579785,PLUME,0.7314629258517034,0.3286573146292585
127,sim_127_conc_real_2025-11-24.npy,6.72,-134.8,NEUTRAL,4,0.0,False,475.0,87.0,1.83,0.00461961963480803,PLUME,0.9519038076152304,0.1743486973947896
128,sim_128_conc_real_2025-11-24.npy,2.02,-134.6,MODERATELY_STABLE,5,0.76,True,94.0,305.0,4.79,0.013584935008781834,PLUME,0.18837675350701402,0.6112224448897795
129,sim_129_conc_real_2025-11-24.npy,5.93,-135.03,NEUTRAL,4,0.0,False,184.0,369.0,2.05,0.0014069219052962635,PLUME,0.3687374749498998,0.7394789579158316
130,sim_130_conc_real_2025-11-24.npy,7.83,-134.98,NEUTRAL,4,0.19,True,29.0,339.0,3.93,0.008130824688016682,PLUME,0.05811623246492986,0.6793587174348698
131,sim_131_conc_real_2025-11-24.npy,5.92,-134.73,VERY_UNSTABLE,1,0.0,False,74.0,234.0,6.4,0.007932035981265335,PLUME,0.14829659318637275,0.46893787575150303
132,sim_132_conc_real_2025-11-24.npy,4.58,-135.03,MODERATELY_UNSTABLE,2,0.0,False,197.0,412.0,2.76,0.001701516404677058,PLUME,0.39478957915831664,0.8256513026052105
133,sim_133_conc_real_2025-11-24.npy,5.61,-135.25,NEUTRAL,4,0.0,False,305.0,426.0,4.65,0.0027535670087047042,PLUME,0.6112224448897795,0.8537074148296593
134,sim_134_conc_real_2025-11-24.npy,7.58,-135.11,NEUTRAL,4,0.0,False,347.0,407.0,4.0,0.010617035506798347,PLUME,0.6953907815631263,0.8156312625250501
135,sim_135_conc_real_2025-11-24.npy,4.47,-135.24,MODERATELY_UNSTABLE,2,0.65,True,489.0,350.0,9.77,0.006893856547030464,PLUME,0.9799599198396793,0.7014028056112225
136,sim_136_conc_real_2025-11-24.npy,5.2,-135.5,NEUTRAL,4,0.84,True,357.0,102.0,1.12,0.006705912308248945,PLUME,0.7154308617234469,0.20440881763527055
137,sim_137_conc_real_2025-11-24.npy,0.94,-135.07,VERY_STABLE,6,0.86,True,298.0,12.0,6.87,0.012724264197677594,PLUME,0.5971943887775552,0.02404809619238477
138,sim_138_conc_real_2025-11-24.npy,6.66,-135.06,NEUTRAL,4,0.0,False,30.0,295.0,1.24,0.007500137289186571,PLUME,0.06012024048096192,0.591182364729459
139,sim_139_conc_real_2025-11-24.npy,6.62,-135.16,NEUTRAL,4,0.0,False,10.0,459.0,9.29,0.005532513890949624,PLUME,0.02004008016032064,0.9198396793587175
140,sim_140_conc_real_2025-11-24.npy,3.62,-135.11,MODERATELY_STABLE,5,0.0,False,410.0,312.0,6.62,0.010118530710432463,PLUME,0.8216432865731463,0.625250501002004
141,sim_141_conc_real_2025-11-24.npy,2.94,-135.03,VERY_UNSTABLE,1,0.0,False,73.0,3.0,2.0,0.002073499587391068,PLUME,0.1462925851703407,0.006012024048096192
142,sim_142_conc_real_2025-11-24.npy,7.71,-135.27,NEUTRAL,4,0.81,True,129.0,461.0,3.04,0.0037510851311910766,PLUME,0.25851703406813625,0.9238476953907816
143,sim_143_conc_real_2025-11-24.npy,4.5,-134.93,NEUTRAL,4,0.0,False,4.0,484.0,1.97,0.0028030277470055096,PLUME,0.008016032064128256,0.969939879759519
144,sim_144_conc_real_2025-11-24.npy,5.16,-134.74,NEUTRAL,4,0.02,True,14.0,240.0,6.24,0.009419090467165693,PLUME,0.028056112224448898,0.48096192384769537
145,sim_145_conc_real_2025-11-24.npy,5.75,-134.73,NEUTRAL,4,0.2,True,433.0,72.0,7.61,0.006773469181556989,PLUME,0.8677354709418837,0.14428857715430862
146,sim_146_conc_real_2025-11-24.npy,6.97,-135.04,NEUTRAL,4,0.83,True,276.0,130.0,5.79,0.007690258175482285,PLUME,0.5531062124248497,0.2605210420841683
147,sim_147_conc_real_2025-11-24.npy,4.85,-134.94,NEUTRAL,4,0.74,True,153.0,190.0,7.92,0.011000864152749954,PLUME,0.3066132264529058,0.3807615230460922
