simulation_id,real_concentration_name_file,wind_speed,wind_dir_mean,stability_class,stability_index,sigma_y,sigma_z,RH,humidify,source_x,source_y,source_h,emission_rate,dispersion_model,gps_x,gps_y
22,sim_22_conc_real_2025-11-10.npy,4.6,0.0,NEUTRAL,4,42.989,21.495,0.05,True,84.0,405.0,1.01,0.0046,PUFF,0.1683366733466934,0.811623246492986
23,sim_23_conc_real_2025-11-10.npy,2.28,0.0,MODERATELY_UNSTABLE,2,126.471,63.236,0.0,False,485.0,165.0,3.47,0.0066,PLUME,0.9719438877755511,0.3306613226452906
24,sim_24_conc_real_2025-11-10.npy,7.28,-149.05,NEUTRAL,4,42.512,21.256,0.0,False,136.0,67.0,6.91,0.0059,PLUME,0.2725450901803607,0.1342685370741483
25,sim_25_conc_real_2025-11-10.npy,2.66,-5.6,VERY_STABLE,6,14.803,7.401,0.0,False,189.0,466.0,5.87,0.0007,PUFF,0.3787575150300601,0.9338677354709419
26,sim_26_conc_real_2025-11-10.npy,6.94,-98.27,NEUTRAL,4,42.965,21.483,0.0,False,53.0,401.0,5.87,0.0099,PLUME,0.1062124248496994,0.8036072144288577
27,sim_27_conc_real_2025-11-10.npy,6.38,-87.31,NEUTRAL,4,42.447,21.224,0.0,False,52.0,19.0,1.79,0.0014,PLUME,0.10420841683366733,0.03807615230460922
28,sim_28_conc_real_2025-11-10.npy,3.27,5.13,VERY_UNSTABLE,1,199.556,99.778,0.0,False,209.0,214.0,3.5,0.0088,PUFF,0.4188376753507014,0.4288577154308617
29,sim_29_conc_real_2025-11-10.npy,2.12,-3.45,VERY_STABLE,6,14.758,7.379,0.22,True,156.0,431.0,2.08,0.0089,PLUME,0.312625250501002,0.8637274549098196
30,sim_30_conc_real_2025-11-10.npy,5.09,120.8,NEUTRAL,4,42.478,21.239,0.35,True,73.0,85.0,8.61,0.0091,PLUME,0.1462925851703407,0.17034068136272545
31,sim_31_conc_real_2025-11-10.npy,5.75,0.0,NEUTRAL,4,43.568,21.784,0.95,True,371.0,463.0,1.82,0.0088,PLUME,0.7434869739478958,0.9278557114228457
32,sim_32_conc_real_2025-11-10.npy,6.63,32.68,NEUTRAL,4,42.61,21.305,0.0,False,225.0,52.0,8.92,0.0051,PLUME,0.45090180360721444,0.10420841683366733
33,sim_33_conc_real_2025-11-10.npy,6.59,0.28,NEUTRAL,4,42.512,21.256,0.0,True,151.0,13.0,5.7,0.0055,PUFF,0.3026052104208417,0.026052104208416832
34,sim_34_conc_real_2025-11-10.npy,2.64,-5.4,MODERATELY_UNSTABLE,2,125.292,62.646,0.72,True,110.0,363.0,5.41,0.0054,PLUME,0.22044088176352705,0.7274549098196392
35,sim_35_conc_real_2025-11-10.npy,4.91,-3.95,MODERATELY_UNSTABLE,2,128.05,64.025,0.43,True,460.0,459.0,7.46,0.0058,PLUME,0.9218436873747495,0.9198396793587175
36,sim_36_conc_real_2025-11-10.npy,6.65,-2.98,NEUTRAL,4,42.635,21.318,0.0,False,36.0,245.0,6.3,0.0072,PUFF,0.07214428857715431,0.4909819639278557
37,sim_37_conc_real_2025-11-10.npy,4.13,0.0,NEUTRAL,4,43.283,21.642,0.0,False,485.0,166.0,1.84,0.0097,PUFF,0.9719438877755511,0.33266533066132264
38,sim_38_conc_real_2025-11-10.npy,1.19,0.0,VERY_STABLE,6,14.671,7.336,0.0,False,18.0,354.0,1.79,0.0067,PUFF,0.036072144288577156,0.7094188376753507
39,sim_39_conc_real_2025-11-10.npy,4.67,-5.38,MODERATELY_UNSTABLE,2,125.843,62.922,0.2,True,438.0,86.0,3.07,0.0083,PUFF,0.8777555110220441,0.17234468937875752
40,sim_40_conc_real_2025-11-10.npy,5.28,-42.06,SLIGHTLY_UNSTABLE,3,73.765,36.883,0.0,False,259.0,174.0,8.58,0.0015,PLUME,0.5190380761523046,0.3486973947895792
41,sim_41_conc_real_2025-11-10.npy,3.65,73.3,SLIGHTLY_UNSTABLE,3,74.23,37.115,0.12,True,1.0,422.0,1.56,0.0028,PUFF,0.002004008016032064,0.845691382765531
42,sim_42_conc_real_2025-11-10.npy,2.76,0.0,VERY_STABLE,6,14.939,7.469,0.0,False,385.0,487.0,1.64,0.0061,PLUME,0.7715430861723447,0.9759519038076152
43,sim_43_conc_real_2025-11-10.npy,4.04,-0.04,NEUTRAL,4,42.664,21.332,0.44,True,250.0,88.0,2.63,0.0086,PUFF,0.501002004008016,0.17635270541082165
44,sim_44_conc_real_2025-11-10.npy,3.1,-0.67,SLIGHTLY_UNSTABLE,3,75.095,37.547,0.0,False,482.0,311.0,6.49,0.01,PUFF,0.9659318637274549,0.6232464929859719
45,sim_45_conc_real_2025-11-10.npy,4.58,-0.28,NEUTRAL,4,42.927,21.463,0.3,True,215.0,325.0,7.33,0.0095,PLUME,0.4308617234468938,0.6513026052104208
46,sim_46_conc_real_2025-11-10.npy,7.61,0.0,NEUTRAL,4,42.957,21.479,0.0,False,18.0,401.0,3.32,0.0018,PUFF,0.036072144288577156,0.8036072144288577
47,sim_47_conc_real_2025-11-10.npy,3.31,0.8,MODERATELY_STABLE,5,25.847,12.923,0.8,True,179.0,474.0,2.28,0.003,PLUME,0.3587174348697395,0.9498997995991983
48,sim_48_conc_real_2025-11-10.npy,5.35,147.78,NEUTRAL,4,43.095,21.548,0.35,True,450.0,39.0,9.34,0.0054,PUFF,0.9018036072144289,0.0781563126252505
49,sim_49_conc_real_2025-11-10.npy,2.24,0.0,MODERATELY_UNSTABLE,2,124.656,62.328,0.5,True,277.0,58.0,9.33,0.0063,PUFF,0.5551102204408818,0.11623246492985972
50,sim_50_conc_real_2025-11-10.npy,7.7,-152.79,NEUTRAL,4,42.846,21.423,0.28,True,22.0,355.0,3.81,0.0098,PUFF,0.04408817635270541,0.7114228456913828
51,sim_51_conc_real_2025-11-10.npy,4.65,60.97,NEUTRAL,4,42.531,21.266,0.47,True,170.0,12.0,4.01,0.0083,PLUME,0.3406813627254509,0.02404809619238477
52,sim_52_conc_real_2025-11-10.npy,6.1,-0.02,NEUTRAL,4,42.914,21.457,0.0,False,31.0,383.0,3.31,0.0097,PLUME,0.06212424849699399,0.7675350701402806
53,sim_53_conc_real_2025-11-10.npy,2.96,131.79,MODERATELY_UNSTABLE,2,124.869,62.434,0.0,False,310.0,73.0,2.03,0.0072,PUFF,0.6212424849699398,0.1462925851703407
54,sim_54_conc_real_2025-11-10.npy,7.52,-62.69,NEUTRAL,4,42.439,21.22,0.73,True,25.0,2.0,3.39,0.0025,PLUME,0.050100200400801605,0.004008016032064128
55,sim_55_conc_real_2025-11-10.npy,3.06,2.36,VERY_UNSTABLE,1,200.573,100.286,0.68,True,344.0,183.0,3.32,0.0097,PUFF,0.6893787575150301,0.3667334669338677
56,sim_56_conc_real_2025-11-10.npy,3.22,0.0,MODERATELY_STABLE,5,25.679,12.839,0.91,True,367.0,177.0,8.83,0.0053,PUFF,0.7354709418837675,0.35470941883767537
57,sim_57_conc_real_2025-11-10.npy,6.94,-80.89,NEUTRAL,4,42.991,21.495,0.76,True,317.0,267.0,1.58,0.0004,PLUME,0.6352705410821643,0.5350701402805611
58,sim_58_conc_real_2025-11-10.npy,8.0,159.96,NEUTRAL,4,43.377,21.689,0.0,False,475.0,258.0,6.62,0.0011,PUFF,0.9519038076152304,0.5170340681362725
59,sim_59_conc_real_2025-11-10.npy,6.1,0.0,NEUTRAL,4,43.28,21.64,0.33,True,479.0,180.0,1.19,0.0066,PLUME,0.9599198396793587,0.36072144288577157
60,sim_60_conc_real_2025-11-10.npy,6.7,4.65,NEUTRAL,4,42.524,21.262,0.06,True,99.0,131.0,8.38,0.0074,PLUME,0.19839679358717435,0.2625250501002004
61,sim_61_conc_real_2025-11-10.npy,3.4,-1.95,SLIGHTLY_UNSTABLE,3,73.218,36.609,0.0,False,20.0,45.0,3.91,0.0067,PUFF,0.04008016032064128,0.09018036072144289
62,sim_62_conc_real_2025-11-10.npy,7.26,138.86,NEUTRAL,4,43.026,21.513,0.0,False,205.0,375.0,4.05,0.0013,PLUME,0.41082164328657317,0.751503006012024
63,sim_63_conc_real_2025-11-10.npy,5.46,0.05,SLIGHTLY_UNSTABLE,3,73.256,36.628,0.3,True,64.0,70.0,2.4,0.0046,PUFF,0.1282565130260521,0.1402805611222445
64,sim_64_conc_real_2025-11-10.npy,4.15,71.98,NEUTRAL,4,43.226,21.613,0.0,False,404.0,286.0,6.85,0.0081,PLUME,0.8096192384769539,0.5731462925851704
65,sim_65_conc_real_2025-11-10.npy,5.31,-141.3,NEUTRAL,4,42.461,21.231,0.68,True,22.0,83.0,8.96,0.0038,PUFF,0.04408817635270541,0.16633266533066132
66,sim_66_conc_real_2025-11-10.npy,5.05,1.59,NEUTRAL,4,42.479,21.24,0.0,False,24.0,111.0,2.55,0.0076,PLUME,0.04809619238476954,0.22244488977955912
67,sim_67_conc_real_2025-11-10.npy,5.11,63.3,SLIGHTLY_UNSTABLE,3,74.301,37.15,0.26,True,436.0,14.0,5.2,0.0085,PLUME,0.87374749498998,0.028056112224448898
68,sim_68_conc_real_2025-11-10.npy,3.17,2.7,VERY_UNSTABLE,1,202.506,101.253,0.0,False,399.0,334.0,5.94,0.0049,PUFF,0.7995991983967936,0.6693386773547094
69,sim_69_conc_real_2025-11-10.npy,7.98,0.0,NEUTRAL,4,42.946,21.473,0.0,False,210.0,337.0,6.2,0.0027,PLUME,0.42084168336673344,0.6753507014028056
70,sim_70_conc_real_2025-11-10.npy,7.4,83.53,NEUTRAL,4,43.594,21.797,0.69,True,373.0,470.0,9.06,0.0089,PLUME,0.7474949899799599,0.9418837675350702
71,sim_71_conc_real_2025-11-10.npy,1.85,-72.49,VERY_STABLE,6,14.77,7.385,0.91,True,470.0,5.0,6.13,0.0031,PLUME,0.9418837675350702,0.01002004008016032
72,sim_72_conc_real_2025-11-10.npy,2.4,0.0,MODERATELY_STABLE,5,25.975,12.987,0.0,False,490.0,294.0,3.51,0.0085,PLUME,0.9819639278557114,0.5891783567134269
73,sim_73_conc_real_2025-11-10.npy,4.35,0.0,NEUTRAL,4,43.042,21.521,0.03,True,291.0,321.0,5.1,0.0075,PUFF,0.5831663326653307,0.6432865731462926
74,sim_74_conc_real_2025-11-10.npy,4.11,0.0,NEUTRAL,4,42.915,21.457,0.32,True,300.0,241.0,1.09,0.0078,PUFF,0.6012024048096193,0.48296593186372744
75,sim_75_conc_real_2025-11-10.npy,3.52,0.0,VERY_UNSTABLE,1,198.891,99.445,0.85,True,214.0,54.0,6.88,0.0009,PLUME,0.4288577154308617,0.10821643286573146
76,sim_76_conc_real_2025-11-10.npy,4.75,66.76,NEUTRAL,4,43.502,21.751,0.91,True,497.0,290.0,3.67,0.004,PLUME,0.9959919839679359,0.5811623246492986
77,sim_77_conc_real_2025-11-10.npy,7.38,-1.91,NEUTRAL,4,43.031,21.515,0.0,False,408.0,133.0,2.96,0.0064,PUFF,0.8176352705410822,0.2665330661322645
78,sim_78_conc_real_2025-11-10.npy,3.3,3.42,MODERATELY_UNSTABLE,2,123.983,61.991,0.39,True,112.0,15.0,4.63,0.004,PUFF,0.22444889779559118,0.03006012024048096
79,sim_79_conc_real_2025-11-10.npy,2.32,3.56,MODERATELY_STABLE,5,25.923,12.962,0.0,False,259.0,481.0,8.61,0.0035,PUFF,0.5190380761523046,0.9639278557114228
80,sim_80_conc_real_2025-11-10.npy,6.47,47.95,SLIGHTLY_UNSTABLE,3,73.909,36.955,0.0,False,116.0,330.0,9.53,0.0096,PLUME,0.23246492985971945,0.6613226452905812
81,sim_81_conc_real_2025-11-10.npy,2.98,0.0,VERY_STABLE,6,14.542,7.271,0.0,False,35.0,0.0,3.44,0.0033,PLUME,0.07014028056112225,0.0
82,sim_82_conc_real_2025-11-10.npy,7.66,0.71,NEUTRAL,4,43.129,21.564,0.56,True,463.0,9.0,9.42,0.0061,PUFF,0.9278557114228457,0.018036072144288578
83,sim_83_conc_real_2025-11-10.npy,4.3,-65.87,NEUTRAL,4,42.914,21.457,0.17,True,311.0,226.0,3.84,0.0088,PLUME,0.6232464929859719,0.4529058116232465
84,sim_84_conc_real_2025-11-10.npy,5.92,-92.23,NEUTRAL,4,43.351,21.676,0.0,False,430.0,315.0,9.05,0.005,PUFF,0.8617234468937875,0.6312625250501002
85,sim_85_conc_real_2025-11-10.npy,7.75,44.4,NEUTRAL,4,42.587,21.293,0.87,True,86.0,197.0,4.42,0.0073,PUFF,0.17234468937875752,0.39478957915831664
86,sim_86_conc_real_2025-11-10.npy,4.75,0.49,NEUTRAL,4,43.222,21.611,0.0,False,437.0,230.0,9.34,0.0001,PUFF,0.875751503006012,0.46092184368737477
87,sim_87_conc_real_2025-11-10.npy,6.38,-100.29,NEUTRAL,4,43.488,21.744,0.9,True,419.0,389.0,9.47,0.0092,PLUME,0.8396793587174348,0.779559118236473
88,sim_88_conc_real_2025-11-10.npy,3.68,5.49,SLIGHTLY_UNSTABLE,3,74.73,37.365,0.32,True,435.0,276.0,5.39,0.0029,PLUME,0.8717434869739479,0.5531062124248497
89,sim_89_conc_real_2025-11-10.npy,3.04,32.2,VERY_UNSTABLE,1,198.496,99.248,0.71,True,120.0,101.0,9.39,0.0051,PLUME,0.24048096192384769,0.20240480961923848
90,sim_90_conc_real_2025-11-10.npy,6.88,0.0,NEUTRAL,4,43.982,21.991,0.15,True,485.0,497.0,9.3,0.0016,PUFF,0.9719438877755511,0.9959919839679359
91,sim_91_conc_real_2025-11-10.npy,6.82,-170.55,NEUTRAL,4,43.37,21.685,0.69,True,207.0,497.0,3.05,0.0089,PUFF,0.4148296593186373,0.9959919839679359
92,sim_92_conc_real_2025-11-10.npy,1.62,3.53,MODERATELY_STABLE,5,25.712,12.856,0.0,False,390.0,178.0,8.01,0.0035,PLUME,0.781563126252505,0.35671342685370744
93,sim_93_conc_real_2025-11-10.npy,5.5,0.0,SLIGHTLY_UNSTABLE,3,73.243,36.622,0.0,False,54.0,63.0,3.06,0.0038,PLUME,0.10821643286573146,0.12625250501002003
94,sim_94_conc_real_2025-11-10.npy,5.45,95.31,SLIGHTLY_UNSTABLE,3,74.492,37.246,0.0,False,52.0,470.0,8.18,0.0081,PLUME,0.10420841683366733,0.9418837675350702
95,sim_95_conc_real_2025-11-10.npy,3.87,170.71,MODERATELY_UNSTABLE,2,124.334,62.167,0.0,False,19.0,218.0,9.46,0.0095,PLUME,0.03807615230460922,0.43687374749499
96,sim_96_conc_real_2025-11-10.npy,3.42,-161.02,MODERATELY_STABLE,5,25.766,12.883,0.0,False,375.0,269.0,8.96,0.0075,PUFF,0.751503006012024,0.5390781563126252
97,sim_97_conc_real_2025-11-10.npy,7.56,-2.65,NEUTRAL,4,43.338,21.669,0.0,False,486.0,209.0,3.27,0.008,PLUME,0.9739478957915831,0.4188376753507014
98,sim_98_conc_real_2025-11-10.npy,3.4,0.0,SLIGHTLY_UNSTABLE,3,73.548,36.774,0.0,False,82.0,230.0,5.51,0.0053,PUFF,0.16432865731462926,0.46092184368737477
99,sim_99_conc_real_2025-11-10.npy,4.68,0.0,NEUTRAL,4,43.704,21.852,0.0,False,491.0,392.0,6.72,0.0087,PLUME,0.9839679358717435,0.7855711422845691
100,sim_100_conc_real_2025-11-10.npy,6.05,-0.77,NEUTRAL,4,42.491,21.246,0.0,False,43.0,122.0,3.26,0.0016,PUFF,0.08617234468937876,0.24448897795591182
101,sim_101_conc_real_2025-11-10.npy,3.67,1.16,SLIGHTLY_UNSTABLE,3,74.246,37.123,0.0,False,16.0,425.0,6.01,0.0031,PLUME,0.03206412825651302,0.8517034068136272
102,sim_102_conc_real_2025-11-10.npy,4.83,0.0,NEUTRAL,4,43.206,21.603,0.93,True,474.0,118.0,4.82,0.0084,PUFF,0.9498997995991983,0.23647294589178355
103,sim_103_conc_real_2025-11-10.npy,5.03,0.0,NEUTRAL,4,43.32,21.66,0.87,True,343.0,396.0,4.94,0.0091,PLUME,0.687374749498998,0.7935871743486974
104,sim_104_conc_real_2025-11-10.npy,5.56,162.39,SLIGHTLY_UNSTABLE,3,73.757,36.879,0.0,False,81.0,299.0,5.75,0.0059,PUFF,0.1623246492985972,0.5991983967935872
105,sim_105_conc_real_2025-11-10.npy,6.43,-1.76,NEUTRAL,4,43.266,21.633,0.0,False,263.0,434.0,5.08,0.0076,PLUME,0.5270541082164328,0.8697394789579158
106,sim_106_conc_real_2025-11-10.npy,3.58,-68.92,SLIGHTLY_UNSTABLE,3,75.06,37.53,0.0,False,487.0,293.0,9.61,0.0038,PLUME,0.9759519038076152,0.5871743486973948
107,sim_107_conc_real_2025-11-10.npy,5.45,-179.02,SLIGHTLY_UNSTABLE,3,74.493,37.246,0.25,True,3.0,473.0,7.22,0.0074,PUFF,0.006012024048096192,0.9478957915831663
108,sim_108_conc_real_2025-11-10.npy,7.09,25.24,NEUTRAL,4,43.667,21.833,0.11,True,448.0,427.0,7.52,0.005,PUFF,0.8977955911823647,0.8557114228456913
109,sim_109_conc_real_2025-11-10.npy,5.6,0.0,VERY_UNSTABLE,1,201.239,100.619,0.2,True,327.0,293.0,8.02,0.0083,PUFF,0.655310621242485,0.5871743486973948
110,sim_110_conc_real_2025-11-10.npy,2.18,87.81,VERY_UNSTABLE,1,202.58,101.29,0.0,False,469.0,235.0,2.39,0.0035,PUFF,0.9398797595190381,0.4709418837675351
111,sim_111_conc_real_2025-11-10.npy,2.03,2.56,VERY_UNSTABLE,1,201.072,100.536,0.95,True,155.0,398.0,1.46,0.005,PUFF,0.3106212424849699,0.7975951903807615
112,sim_112_conc_real_2025-11-10.npy,2.98,18.63,MODERATELY_UNSTABLE,2,125.149,62.575,0.67,True,302.0,196.0,5.17,0.0055,PUFF,0.6052104208416834,0.3927855711422846
113,sim_113_conc_real_2025-11-10.npy,4.13,-74.09,NEUTRAL,4,42.897,21.449,0.0,False,35.0,376.0,5.32,0.0054,PLUME,0.07014028056112225,0.7535070140280561
114,sim_114_conc_real_2025-11-10.npy,4.65,0.0,MODERATELY_UNSTABLE,2,126.342,63.171,0.0,False,169.0,470.0,5.86,0.0066,PUFF,0.33867735470941884,0.9418837675350702
115,sim_115_conc_real_2025-11-10.npy,7.25,-4.36,NEUTRAL,4,43.192,21.596,0.0,False,305.0,376.0,9.5,0.0079,PUFF,0.6112224448897795,0.7535070140280561
116,sim_116_conc_real_2025-11-10.npy,6.86,-113.06,NEUTRAL,4,43.057,21.528,0.0,False,356.0,256.0,3.78,0.0059,PLUME,0.7134268537074149,0.5130260521042084
117,sim_117_conc_real_2025-11-10.npy,5.44,0.0,NEUTRAL,4,42.908,21.454,0.22,True,308.0,226.0,2.82,0.0087,PUFF,0.6172344689378757,0.4529058116232465
118,sim_118_conc_real_2025-11-10.npy,4.86,1.71,VERY_UNSTABLE,1,203.025,101.512,0.0,False,438.0,333.0,3.02,0.0024,PUFF,0.8777555110220441,0.6673346693386774
119,sim_119_conc_real_2025-11-10.npy,6.22,0.0,NEUTRAL,4,43.147,21.574,0.0,False,468.0,36.0,4.71,0.0091,PLUME,0.9378757515030061,0.07214428857715431
120,sim_120_conc_real_2025-11-10.npy,3.04,-43.96,MODERATELY_UNSTABLE,2,125.514,62.757,0.08,True,386.0,131.0,2.08,0.0009,PLUME,0.7735470941883767,0.2625250501002004
121,sim_121_conc_real_2025-11-10.npy,6.95,84.89,NEUTRAL,4,43.365,21.682,0.77,True,467.0,265.0,6.8,0.0061,PUFF,0.935871743486974,0.531062124248497
122,sim_122_conc_real_2025-11-10.npy,5.23,0.0,VERY_UNSTABLE,1,203.433,101.717,0.84,True,496.0,286.0,5.28,0.0057,PUFF,0.9939879759519038,0.5731462925851704
123,sim_123_conc_real_2025-11-10.npy,7.77,28.21,NEUTRAL,4,43.247,21.623,0.31,True,496.0,72.0,2.74,0.0025,PUFF,0.9939879759519038,0.14428857715430862
124,sim_124_conc_real_2025-11-10.npy,4.37,1.48,NEUTRAL,4,43.286,21.643,0.0,False,263.0,441.0,4.68,0.0096,PUFF,0.5270541082164328,0.8837675350701403
125,sim_125_conc_real_2025-11-10.npy,2.12,-0.37,VERY_STABLE,6,14.57,7.285,0.0,False,167.0,11.0,9.13,0.003,PLUME,0.3346693386773547,0.022044088176352707
126,sim_126_conc_real_2025-11-10.npy,6.58,0.01,NEUTRAL,4,43.325,21.663,0.18,True,391.0,351.0,8.95,0.0006,PLUME,0.7835671342685371,0.7034068136272545
127,sim_127_conc_real_2025-11-10.npy,1.68,0.0,VERY_STABLE,6,14.598,7.299,0.83,True,211.0,103.0,3.66,0.0075,PLUME,0.4228456913827655,0.20641282565130262
128,sim_128_conc_real_2025-11-10.npy,7.46,0.0,NEUTRAL,4,43.217,21.609,0.81,True,488.0,62.0,7.75,0.0027,PUFF,0.9779559118236473,0.12424849699398798
129,sim_129_conc_real_2025-11-10.npy,4.76,0.34,NEUTRAL,4,43.802,21.901,0.0,False,475.0,447.0,2.32,0.0055,PLUME,0.9519038076152304,0.8957915831663327
130,sim_130_conc_real_2025-11-10.npy,5.56,0.0,NEUTRAL,4,43.547,21.773,0.72,True,339.0,480.0,3.78,0.0091,PUFF,0.6793587174348698,0.9619238476953907
131,sim_131_conc_real_2025-11-10.npy,7.82,-0.91,NEUTRAL,4,43.474,21.737,0.13,True,425.0,377.0,3.17,0.0089,PUFF,0.8517034068136272,0.7555110220440882
132,sim_132_conc_real_2025-11-10.npy,5.12,-160.85,SLIGHTLY_UNSTABLE,3,74.771,37.386,0.55,True,299.0,428.0,2.71,0.0041,PLUME,0.5991983967935872,0.8577154308617234
133,sim_133_conc_real_2025-11-10.npy,1.56,0.0,MODERATELY_STABLE,5,25.756,12.878,0.0,False,453.0,48.0,6.82,0.0039,PUFF,0.9078156312625251,0.09619238476953908
134,sim_134_conc_real_2025-11-10.npy,4.43,-3.74,VERY_UNSTABLE,1,201.824,100.912,0.0,False,256.0,404.0,9.75,0.0076,PUFF,0.5130260521042084,0.8096192384769539
135,sim_135_conc_real_2025-11-10.npy,3.55,1.85,MODERATELY_STABLE,5,25.454,12.727,0.0,False,16.0,211.0,6.8,0.0075,PUFF,0.03206412825651302,0.4228456913827655
136,sim_136_conc_real_2025-11-10.npy,5.48,0.0,NEUTRAL,4,43.882,21.941,0.5,True,462.0,487.0,9.02,0.003,PLUME,0.9258517034068137,0.9759519038076152
137,sim_137_conc_real_2025-11-10.npy,5.76,0.8,NEUTRAL,4,43.188,21.594,0.0,False,479.0,60.0,7.53,0.0013,PLUME,0.9599198396793587,0.12024048096192384
138,sim_138_conc_real_2025-11-10.npy,5.82,-6.17,VERY_UNSTABLE,1,200.201,100.101,0.0,False,252.0,256.0,5.37,0.0018,PUFF,0.5050100200400801,0.5130260521042084
139,sim_139_conc_real_2025-11-10.npy,4.95,1.29,NEUTRAL,4,43.456,21.728,0.47,True,444.0,346.0,6.39,0.0004,PUFF,0.8897795591182365,0.6933867735470942
140,sim_140_conc_real_2025-11-10.npy,4.89,-2.05,NEUTRAL,4,43.125,21.563,0.0,False,164.0,432.0,2.22,0.0017,PUFF,0.3286573146292585,0.8657314629258517
141,sim_141_conc_real_2025-11-10.npy,5.22,-160.61,NEUTRAL,4,42.887,21.443,0.0,False,62.0,368.0,8.96,0.0028,PUFF,0.12424849699398798,0.7374749498997996
142,sim_142_conc_real_2025-11-10.npy,5.7,-0.43,VERY_UNSTABLE,1,204.006,102.003,0.57,True,351.0,490.0,8.15,0.009,PLUME,0.7034068136272545,0.9819639278557114
