simulation_id,real_concentration_name_file,wind_speed,wind_dir_mean,stability_class,stability_index,RH,humidify,source_x,source_y,source_h,emission_rate,dispersion_model,gps_x,gps_y,wind_dir_cos,wind_dir_sin
28,sim_28_conc_real_2025-11-24.npy,2.32,-134.83,4,6,0.26,True,210.0,480.0,1.3,0.0045946260743048,0,0.4208416833667334,0.9619238476953909,-0.7050056437257369,-0.7092016936773764
29,sim_29_conc_real_2025-11-24.npy,4.58,-135.3,2,4,0.0,False,94.0,378.0,1.96,0.0016962894173202,0,0.188376753507014,0.7575150300601202,-0.7107994738729925,-0.7033947028105039
30,sim_30_conc_real_2025-11-24.npy,4.52,-135.17,5,1,0.29,True,425.0,322.0,6.07,0.0118743489992949,0,0.8517034068136272,0.6452905811623246,-0.7092016936773763,-0.705005643725737
31,sim_31_conc_real_2025-11-24.npy,6.95,-134.93,2,4,0.15,True,463.0,21.0,7.5,0.0129570971698271,0,0.9278557114228456,0.0420841683366733,-0.7062423597741271,-0.7079701471535876
32,sim_32_conc_real_2025-11-24.npy,7.31,-134.53,2,4,0.03,True,319.0,15.0,7.43,0.0035476716329295,0,0.6392785571142284,0.0300601202404809,-0.7012826252655336,-0.7128833561675297
33,sim_33_conc_real_2025-11-24.npy,1.13,-134.66,0,5,0.8,True,360.0,370.0,9.01,0.0025043294403446,0,0.7214428857715431,0.7414829659318637,-0.7028982997921757,-0.7112903627557938
34,sim_34_conc_real_2025-11-24.npy,3.28,-135.18,1,2,0.29,True,407.0,145.0,1.81,0.0134267634543719,0,0.8156312625250501,0.2905811623246493,-0.709324729572274,-0.7048818539423614
35,sim_35_conc_real_2025-11-24.npy,5.94,-135.06,2,4,0.09,True,239.0,499.0,9.33,0.0025170456170003,0,0.4789579158316633,1.0,-0.7078468738262602,-0.7063659131175501
36,sim_36_conc_real_2025-11-24.npy,7.09,-135.11,2,4,0.36,True,354.0,381.0,3.07,0.0053323193178072,0,0.7094188376753507,0.7635270541082164,-0.7084630247653165,-0.7057479313043563
37,sim_37_conc_real_2025-11-24.npy,6.65,-134.69,2,4,0.77,True,231.0,476.0,9.23,0.0098731306690797,0,0.4629258517034068,0.9539078156312624,-0.7032706341864143,-0.7109222285813256
38,sim_38_conc_real_2025-11-24.npy,6.52,-134.79,2,4,0.0,False,317.0,103.0,2.95,0.008585628565467,0,0.6352705410821643,0.2064128256513026,-0.7045103557757468,-0.709693707598377
39,sim_39_conc_real_2025-11-24.npy,3.07,-135.16,0,5,0.0,False,440.0,189.0,9.74,0.0056823174965087,0,0.8817635270541082,0.3787575150300601,-0.7090786361789599,-0.7051294120334126
40,sim_40_conc_real_2025-11-24.npy,1.94,-135.38,0,5,0.1,True,167.0,10.0,3.32,0.0024881802936088,0,0.3346693386773547,0.0200400801603206,-0.711780904964313,-0.7024015541897553
41,sim_41_conc_real_2025-11-24.npy,2.46,-134.55,5,1,0.0,False,287.0,358.0,8.41,0.0130496180220193,0,0.5751503006012024,0.717434869739479,-0.7015314257708557,-0.7126385189252055
42,sim_42_conc_real_2025-11-24.npy,0.56,-134.93,4,6,0.19,True,140.0,401.0,9.47,0.0134712527400794,0,0.280561122244489,0.8036072144288577,-0.7062423597741271,-0.7079701471535876
43,sim_43_conc_real_2025-11-24.npy,4.05,-135.27,2,4,0.11,True,114.0,101.0,2.56,0.0091216620960117,0,0.2284569138276553,0.2024048096192384,-0.7104310798498135,-0.7037667801078905
44,sim_44_conc_real_2025-11-24.npy,0.94,-135.37,4,6,0.0,False,445.0,197.0,4.71,0.0078335205307973,0,0.8917835671342685,0.3947895791583166,-0.7116583019259749,-0.7025257726943817
45,sim_45_conc_real_2025-11-24.npy,6.38,-134.95,2,4,0.0,False,43.0,112.0,2.43,0.0064064956353967,0,0.0861723446893787,0.2244488977955911,-0.7064894449438369,-0.7077235789366842
46,sim_46_conc_real_2025-11-24.npy,0.96,-135.22,4,6,0.0,False,193.0,363.0,7.22,0.0016705160525336,0,0.3867735470941884,0.7274549098196392,-0.7098166570417261,-0.7043864801272868
47,sim_47_conc_real_2025-11-24.npy,4.52,-134.9,3,3,0.46,True,248.0,24.0,7.87,0.0071151956628128,0,0.4969939879759519,0.0480961923847695,-0.705871570678681,-0.7083398377245288
48,sim_48_conc_real_2025-11-24.npy,4.11,-135.11,2,4,0.0,False,227.0,459.0,2.59,0.0033411827270305,0,0.4549098196392785,0.9198396793587176,-0.7084630247653165,-0.7057479313043563
49,sim_49_conc_real_2025-11-24.npy,3.37,-135.23,1,2,0.0,False,192.0,499.0,8.61,0.0032435662689459,0,0.3847695390781563,1.0,-0.7099395848628233,-0.7042625830219877
50,sim_50_conc_real_2025-11-24.npy,6.29,-135.07,2,4,0.41,True,261.0,234.0,3.41,0.0097823828947513,0,0.5230460921843687,0.468937875751503,-0.7079701471535875,-0.7062423597741272
51,sim_51_conc_real_2025-11-24.npy,5.4,-135.13,2,4,0.93,True,43.0,446.0,8.95,0.0063777750574618,0,0.0861723446893787,0.8937875751503006,-0.7087093341000861,-0.7055005880645406
52,sim_52_conc_real_2025-11-24.npy,1.21,-135.08,0,5,0.0,False,478.0,71.0,7.7,0.0014039225631746,0,0.9579158316633266,0.1422845691382765,-0.7080933989149112,-0.7061187849173314
53,sim_53_conc_real_2025-11-24.npy,4.63,-135.13,1,2,0.0,False,208.0,19.0,9.39,0.0068023459749145,0,0.4168336673346693,0.0380761523046092,-0.7087093341000861,-0.7055005880645406
54,sim_54_conc_real_2025-11-24.npy,5.33,-135.14,2,4,0.45,True,447.0,5.0,1.49,0.0042459729889333,0,0.8957915831663327,0.0100200400801603,-0.7088324563865653,-0.7053768842065835
55,sim_55_conc_real_2025-11-24.npy,7.42,-134.91,2,4,0.0,False,202.0,332.0,9.27,0.0061863244297728,0,0.4048096192384769,0.6653306613226453,-0.7059951885509279,-0.708216629106476
56,sim_56_conc_real_2025-11-24.npy,7.12,-135.07,2,4,0.5,True,418.0,196.0,9.99,0.0104920832745396,0,0.8376753507014028,0.3927855711422846,-0.7079701471535875,-0.7062423597741272
57,sim_57_conc_real_2025-11-24.npy,4.78,-134.74,2,4,0.0,False,15.0,360.0,6.0,0.0100063846002275,0,0.0300601202404809,0.7214428857715431,-0.703890763002799,-0.7103082385551623
58,sim_58_conc_real_2025-11-24.npy,3.2,-134.95,3,3,0.0,False,394.0,182.0,1.79,0.0116713566211748,0,0.7895791583166333,0.3647294589178356,-0.7064894449438369,-0.7077235789366842
59,sim_59_conc_real_2025-11-24.npy,6.96,-134.75,2,4,0.93,True,159.0,120.0,2.99,0.0045970713601757,0,0.3186372745490982,0.2404809619238476,-0.7040147244559685,-0.7101853756232853
60,sim_60_conc_real_2025-11-24.npy,5.5,-135.19,3,3,0.35,True,454.0,208.0,9.97,0.0016119280833382,0,0.9098196392785572,0.4168336673346693,-0.7094477438599042,-0.704758042687057
61,sim_61_conc_real_2025-11-24.npy,6.8,-134.85,2,4,0.31,True,286.0,307.0,5.75,0.0044093069722494,0,0.5731462925851704,0.6152304609218436,-0.7052531588616178,-0.7089555570807734
62,sim_62_conc_real_2025-11-24.npy,7.37,-135.15,2,4,0.0,False,25.0,118.0,2.64,0.0049335809932556,0,0.0501002004008016,0.2364729458917835,-0.7089555570807735,-0.7052531588616175
63,sim_63_conc_real_2025-11-24.npy,5.85,-134.81,5,1,0.61,True,287.0,317.0,9.64,0.0079988207367147,0,0.5751503006012024,0.6352705410821643,-0.7047580426870569,-0.7094477438599043
64,sim_64_conc_real_2025-11-24.npy,5.57,-134.79,2,4,0.25,True,426.0,333.0,6.77,0.0044921812266932,0,0.8537074148296593,0.6673346693386774,-0.7045103557757468,-0.709693707598377
65,sim_65_conc_real_2025-11-24.npy,2.73,-135.15,1,2,0.0,False,466.0,395.0,2.9,0.0048149393365885,0,0.933867735470942,0.7915831663326653,-0.7089555570807735,-0.7052531588616175
66,sim_66_conc_real_2025-11-24.npy,3.61,-134.93,1,2,0.0,False,428.0,281.0,6.11,0.0113693771268885,0,0.8577154308617234,0.56312625250501,-0.7062423597741271,-0.7079701471535876
67,sim_67_conc_real_2025-11-24.npy,5.01,-135.13,2,4,0.0,False,82.0,377.0,4.67,0.0048707343734063,0,0.1643286573146292,0.7555110220440882,-0.7087093341000861,-0.7055005880645406
68,sim_68_conc_real_2025-11-24.npy,4.06,-135.11,3,3,0.77,True,39.0,420.0,2.23,0.0135260209960616,0,0.0781563126252505,0.8416833667334669,-0.7084630247653165,-0.7057479313043563
69,sim_69_conc_real_2025-11-24.npy,5.06,-135.41,2,4,0.6,True,239.0,136.0,8.93,0.0094674203805158,0,0.4789579158316633,0.2725450901803607,-0.7121485839718744,-0.7020287703127659
70,sim_70_conc_real_2025-11-24.npy,7.45,-134.96,2,4,0.0,False,333.0,6.0,8.61,0.0133595064923618,0,0.6673346693386774,0.0120240480961923,-0.7066129552492247,-0.7076002624886153
71,sim_71_conc_real_2025-11-24.npy,1.69,-135.16,4,6,0.39,True,428.0,331.0,2.85,0.0138560258874268,0,0.8577154308617234,0.6633266533066132,-0.7090786361789599,-0.7051294120334126
72,sim_72_conc_real_2025-11-24.npy,5.41,-134.96,2,4,0.22,True,50.0,55.0,8.23,0.0076238401229868,0,0.1002004008016032,0.1102204408817635,-0.7066129552492247,-0.7076002624886153
73,sim_73_conc_real_2025-11-24.npy,4.48,-135.02,2,4,0.3,True,195.0,74.0,3.65,0.0095939100414424,0,0.3907815631262525,0.1482965931863727,-0.7073535649320247,-0.7068599112822539
74,sim_74_conc_real_2025-11-24.npy,6.86,-134.7,2,4,0.6,True,9.0,86.0,5.66,0.0102022132993051,0,0.0180360721442885,0.1723446893787575,-0.7033947028105038,-0.7107994738729926
75,sim_75_conc_real_2025-11-24.npy,7.13,-135.47,2,4,0.0,False,163.0,457.0,5.14,0.0096651494986552,0,0.3266533066132264,0.9158316633266532,-0.7128833561675296,-0.7012826252655339
76,sim_76_conc_real_2025-11-24.npy,4.12,-134.75,3,3,0.45,True,285.0,7.0,9.75,0.0120322893464314,0,0.5711422845691383,0.0140280561122244,-0.7040147244559685,-0.7101853756232853
77,sim_77_conc_real_2025-11-24.npy,2.91,-135.21,0,5,0.0,False,481.0,428.0,4.1,0.0060026557715839,0,0.9639278557114228,0.8577154308617234,-0.7096937075983769,-0.7045103557757469
78,sim_78_conc_real_2025-11-24.npy,2.25,-135.22,1,2,0.3,True,405.0,179.0,4.7,0.0052679971400055,0,0.811623246492986,0.3587174348697395,-0.7098166570417261,-0.7043864801272868
79,sim_79_conc_real_2025-11-24.npy,3.09,-134.76,3,3,0.33,True,31.0,499.0,5.06,0.002437627866869,0,0.0621242484969939,1.0,-0.7041386644636228,-0.7100624910579248
80,sim_80_conc_real_2025-11-24.npy,2.63,-134.87,0,5,0.84,True,251.0,446.0,1.33,0.0135510421520497,0,0.503006012024048,0.8937875751503006,-0.7055005880645404,-0.7087093341000862
81,sim_81_conc_real_2025-11-24.npy,3.14,-134.96,1,2,0.0,False,89.0,282.0,2.69,0.0019073510085146,0,0.1783567134268537,0.5651302605210421,-0.7066129552492247,-0.7076002624886153
82,sim_82_conc_real_2025-11-24.npy,4.25,-134.89,2,4,0.77,True,287.0,316.0,3.04,0.0109322594025973,0,0.5751503006012024,0.6332665330661322,-0.7057479313043562,-0.7084630247653166
83,sim_83_conc_real_2025-11-24.npy,5.67,-134.94,5,1,0.0,False,388.0,417.0,8.48,0.0063220158393553,0,0.7775551102204409,0.8356713426853707,-0.70636591311755,-0.7078468738262603
84,sim_84_conc_real_2025-11-24.npy,4.67,-135.1,3,3,0.03,True,433.0,402.0,7.22,0.0027070107937238,0,0.8677354709418837,0.8056112224448898,-0.7083398377245287,-0.7058715706786811
85,sim_85_conc_real_2025-11-24.npy,7.04,-135.1,2,4,0.15,True,248.0,255.0,9.89,0.0128142328162755,0,0.4969939879759519,0.5110220440881763,-0.7083398377245287,-0.7058715706786811
86,sim_86_conc_real_2025-11-24.npy,4.78,-134.95,2,4,0.64,True,203.0,62.0,1.2,0.0075580334842365,0,0.406813627254509,0.1242484969939879,-0.7064894449438369,-0.7077235789366842
87,sim_87_conc_real_2025-11-24.npy,7.84,-134.99,2,4,0.04,True,341.0,286.0,5.0,0.0121220143577922,0,0.6833667334669339,0.5731462925851704,-0.706983357002373,-0.7072301838310177
88,sim_88_conc_real_2025-11-24.npy,4.01,-135.24,2,4,0.0,False,482.0,287.0,3.57,0.0054696531097949,0,0.9659318637274548,0.5751503006012024,-0.7100624910579247,-0.7041386644636229
89,sim_89_conc_real_2025-11-24.npy,5.44,-134.82,3,3,0.69,True,407.0,67.0,4.94,0.0104349625883177,0,0.8156312625250501,0.1342685370741483,-0.7048818539423611,-0.7093247295722741
90,sim_90_conc_real_2025-11-24.npy,3.35,-134.98,0,5,0.99,True,327.0,465.0,8.17,0.0133231918777963,0,0.655310621242485,0.93186372745491,-0.7068599112822541,-0.7073535649320245
91,sim_91_conc_real_2025-11-24.npy,3.05,-134.49,5,1,0.52,True,185.0,478.0,8.23,0.0074781382467055,0,0.3707414829659318,0.9579158316633266,-0.7007847679377337,-0.7133727700343326
92,sim_92_conc_real_2025-11-24.npy,7.64,-134.97,2,4,0.0,False,443.0,33.0,3.71,0.0119097682926024,0,0.8877755511022044,0.0661322645290581,-0.706736444029951,-0.7074769244858096
93,sim_93_conc_real_2025-11-24.npy,4.16,-134.6,2,4,0.0,False,50.0,442.0,7.75,0.0070693406723198,0,0.1002004008016032,0.8857715430861723,-0.7021530529951623,-0.7120260459909965
94,sim_94_conc_real_2025-11-24.npy,7.28,-134.93,2,4,0.4,True,246.0,462.0,4.67,0.0129935983432607,0,0.4929859719438877,0.9258517034068136,-0.7062423597741271,-0.7079701471535876
95,sim_95_conc_real_2025-11-24.npy,3.17,-135.36,5,1,0.94,True,77.0,43.0,4.1,0.0057130929527544,0,0.1543086172344689,0.0861723446893787,-0.7115356772092857,-0.7026499697988489
96,sim_96_conc_real_2025-11-24.npy,5.35,-134.85,5,1,0.03,True,479.0,81.0,6.8,0.0121830037836618,0,0.9599198396793588,0.1623246492985972,-0.7052531588616178,-0.7089555570807734
97,sim_97_conc_real_2025-11-24.npy,7.76,-134.96,2,4,0.94,True,374.0,352.0,4.86,0.0063724601871846,0,0.749498997995992,0.7054108216432866,-0.7066129552492247,-0.7076002624886153
98,sim_98_conc_real_2025-11-24.npy,5.26,-135.09,2,4,0.03,True,327.0,248.0,9.8,0.0125111316247032,0,0.655310621242485,0.4969939879759519,-0.7082166291064759,-0.705995188550928
99,sim_99_conc_real_2025-11-24.npy,6.39,-135.03,2,4,0.73,True,394.0,477.0,1.63,0.0118499149147986,0,0.7895791583166333,0.9559118236472944,-0.7074769244858095,-0.7067364440299511
100,sim_100_conc_real_2025-11-24.npy,6.68,-135.13,2,4,0.0,False,281.0,419.0,4.19,0.0050403009111767,0,0.56312625250501,0.8396793587174348,-0.7087093341000861,-0.7055005880645406
101,sim_101_conc_real_2025-11-24.npy,7.08,-134.95,2,4,0.89,True,497.0,413.0,7.71,0.0051076971069041,0,0.995991983967936,0.8276553106212425,-0.7064894449438369,-0.7077235789366842
102,sim_102_conc_real_2025-11-24.npy,4.88,-134.98,5,1,0.0,False,22.0,10.0,6.35,0.008044578900996,0,0.0440881763527054,0.0200400801603206,-0.7068599112822541,-0.7073535649320245
103,sim_103_conc_real_2025-11-24.npy,7.24,-134.84,2,4,0.0,False,345.0,243.0,8.51,0.0111880889405024,0,0.6913827655310621,0.4869739478957915,-0.7051294120334124,-0.70907863617896
104,sim_104_conc_real_2025-11-24.npy,1.59,-135.34,4,6,0.0,False,338.0,465.0,5.67,0.0084049599956067,0,0.6773547094188377,0.93186372745491,-0.7112903627557937,-0.7028982997921758
105,sim_105_conc_real_2025-11-24.npy,7.71,-135.03,2,4,0.0,False,320.0,61.0,5.28,0.0056318678249239,0,0.6412825651302605,0.1222444889779559,-0.7074769244858095,-0.7067364440299511
106,sim_106_conc_real_2025-11-24.npy,7.54,-135.23,2,4,0.18,True,359.0,408.0,6.36,0.0020858987217252,0,0.7194388777555111,0.8176352705410822,-0.7099395848628233,-0.7042625830219877
107,sim_107_conc_real_2025-11-24.npy,4.67,-134.8,2,4,0.41,True,487.0,236.0,2.55,0.0022504762962165,0,0.9759519038076152,0.4729458917835671,-0.7046342099635947,-0.7095707365365208
108,sim_108_conc_real_2025-11-24.npy,2.62,-134.72,4,6,0.0,False,55.0,393.0,8.69,0.0082313421710506,0,0.1102204408817635,0.7875751503006012,-0.7036427757750201,-0.7105538995034963
109,sim_109_conc_real_2025-11-24.npy,4.25,-135.05,2,4,0.83,True,96.0,484.0,6.11,0.0122490585600518,0,0.1923847695390781,0.969939879759519,-0.7077235789366845,-0.7064894449438368
110,sim_110_conc_real_2025-11-24.npy,5.65,-135.17,2,4,0.1,True,257.0,497.0,1.91,0.0116047667683693,0,0.5150300601202404,0.995991983967936,-0.7092016936773763,-0.705005643725737
111,sim_111_conc_real_2025-11-24.npy,5.19,-134.79,2,4,0.0,False,116.0,372.0,8.67,0.0096507867976347,0,0.2324649298597194,0.7454909819639278,-0.7045103557757468,-0.709693707598377
112,sim_112_conc_real_2025-11-24.npy,5.09,-135.04,2,4,0.0,False,278.0,386.0,9.76,0.0049955011791817,0,0.5571142284569138,0.7735470941883767,-0.7076002624886151,-0.7066129552492249
113,sim_113_conc_real_2025-11-24.npy,6.69,-135.03,2,4,0.0,False,234.0,425.0,6.95,0.0022839924529814,0,0.468937875751503,0.8517034068136272,-0.7074769244858095,-0.7067364440299511
114,sim_114_conc_real_2025-11-24.npy,6.85,-135.22,2,4,0.0,False,425.0,445.0,8.36,0.0080296328090056,0,0.8517034068136272,0.8917835671342685,-0.7098166570417261,-0.7043864801272868
115,sim_115_conc_real_2025-11-24.npy,4.03,-135.05,2,4,0.0,False,7.0,342.0,9.79,0.0026865061419678,0,0.0140280561122244,0.685370741482966,-0.7077235789366845,-0.7064894449438368
116,sim_116_conc_real_2025-11-24.npy,4.66,-134.93,2,4,0.5,True,87.0,321.0,5.13,0.0016162035740244,0,0.1743486973947896,0.6432865731462926,-0.7062423597741271,-0.7079701471535876
117,sim_117_conc_real_2025-11-24.npy,1.58,-135.0,0,5,0.48,True,414.0,382.0,8.5,0.0046037227855104,0,0.8296593186372746,0.7655310621242485,-0.7071067811865475,-0.7071067811865476
118,sim_118_conc_real_2025-11-24.npy,7.61,-135.08,2,4,0.0,False,178.0,19.0,4.44,0.0031314062064178,0,0.3567134268537074,0.0380761523046092,-0.7080933989149112,-0.7061187849173314
119,sim_119_conc_real_2025-11-24.npy,4.71,-134.98,2,4,0.0,False,494.0,365.0,4.59,0.0093858572055608,0,0.9899799599198396,0.7314629258517034,-0.7068599112822541,-0.7073535649320245
120,sim_120_conc_real_2025-11-24.npy,7.77,-135.03,2,4,0.72,True,475.0,126.0,3.25,0.0062412805954585,0,0.9519038076152304,0.25250501002004,-0.7074769244858095,-0.7067364440299511
121,sim_121_conc_real_2025-11-24.npy,6.69,-135.05,2,4,0.0,False,25.0,88.0,7.06,0.0105139362089108,0,0.0501002004008016,0.1763527054108216,-0.7077235789366845,-0.7064894449438368
122,sim_122_conc_real_2025-11-24.npy,3.88,-135.0,1,2,0.0,False,373.0,143.0,5.6,0.007516697752623,0,0.7474949899799599,0.2865731462925852,-0.7071067811865475,-0.7071067811865476
123,sim_123_conc_real_2025-11-24.npy,4.51,-134.78,2,4,0.96,True,482.0,55.0,7.3,0.0017021965783654,0,0.9659318637274548,0.1102204408817635,-0.704386480127287,-0.7098166570417259
124,sim_124_conc_real_2025-11-24.npy,5.2,-134.92,3,3,0.36,True,152.0,410.0,8.43,0.0028239740102987,0,0.3046092184368738,0.8216432865731463,-0.7061187849173313,-0.7080933989149113
125,sim_125_conc_real_2025-11-24.npy,7.43,-135.04,2,4,0.92,True,81.0,18.0,9.23,0.011435027352654,0,0.1623246492985972,0.0360721442885771,-0.7076002624886151,-0.7066129552492249
126,sim_126_conc_real_2025-11-24.npy,7.35,-134.7,2,4,0.65,True,365.0,164.0,5.89,0.0074900359325797,0,0.7314629258517034,0.3286573146292585,-0.7033947028105038,-0.7107994738729926
127,sim_127_conc_real_2025-11-24.npy,6.72,-134.8,2,4,0.0,False,475.0,87.0,1.83,0.004619619634808,0,0.9519038076152304,0.1743486973947896,-0.7046342099635947,-0.7095707365365208
128,sim_128_conc_real_2025-11-24.npy,2.02,-134.6,0,5,0.76,True,94.0,305.0,4.79,0.0135849350087818,0,0.188376753507014,0.6112224448897795,-0.7021530529951623,-0.7120260459909965
129,sim_129_conc_real_2025-11-24.npy,5.93,-135.03,2,4,0.0,False,184.0,369.0,2.05,0.0014069219052962,0,0.3687374749498998,0.7394789579158316,-0.7074769244858095,-0.7067364440299511
130,sim_130_conc_real_2025-11-24.npy,7.83,-134.98,2,4,0.19,True,29.0,339.0,3.93,0.0081308246880166,0,0.0581162324649298,0.6793587174348698,-0.7068599112822541,-0.7073535649320245
131,sim_131_conc_real_2025-11-24.npy,5.92,-134.73,5,1,0.0,False,74.0,234.0,6.4,0.0079320359812653,0,0.1482965931863727,0.468937875751503,-0.7037667801078904,-0.7104310798498136
132,sim_132_conc_real_2025-11-24.npy,4.58,-135.03,1,2,0.0,False,197.0,412.0,2.76,0.001701516404677,0,0.3947895791583166,0.8256513026052105,-0.7074769244858095,-0.7067364440299511
133,sim_133_conc_real_2025-11-24.npy,5.61,-135.25,2,4,0.0,False,305.0,426.0,4.65,0.0027535670087047,0,0.6112224448897795,0.8537074148296593,-0.7101853756232854,-0.7040147244559682
134,sim_134_conc_real_2025-11-24.npy,7.58,-135.11,2,4,0.0,False,347.0,407.0,4.0,0.0106170355067983,0,0.6953907815631263,0.8156312625250501,-0.7084630247653165,-0.7057479313043563
135,sim_135_conc_real_2025-11-24.npy,4.47,-135.24,1,2,0.65,True,489.0,350.0,9.77,0.0068938565470304,0,0.9799599198396792,0.7014028056112225,-0.7100624910579247,-0.7041386644636229
